No,name,b_count,chi1,dens
1,ACIEL1,39,9.3967543,1.0034714
2,ACIEL2,55,14.541714,1.0059097
3,ACIEL6,41,9.8967543,0.98480409
4,ACIEL7,38,9.4860706,1.0016428
5,ACIEL9,38,9.575387,1.0021052
6,ACIEL10,35,9.075387,1.0409602
7,ACIEL11,42,10.507239,1.0082676
8,ACIEL15,47,12.541714,1.0394298
9,ACIEL16,39,9.3967543,1.0034714
10,ACSCL1,28,7.9603434,1.1702219
11,ACSCL2,31,9.5655155,1.3392918
12,ACSCL3,28,10.030599,1.5138834
13,ACSCL4,32,8.8921947,1.1697595
14,ACSCL5,32,8.9090319,1.1748261
15,ACSCL6,31,8.371027,1.1477864
16,ACSCL7,31,8.4334698,1.1394598
17,ACSCL14,39,10.565516,1.0704336
18,ACSCL16,31,8.41745,1.1536226
19,ACSCL19,30,8.0554781,1.1201571
20,BBPO,55,15.686673,1.0432098
21,BFMO,31,8.7540197,1.1203676
22,BNMO,51,13.720346,1.0076882
23,BPPO,55,15.686673,1.0428894
24,BTMO,31,8.7540197,1.0828266
25,BTMPO,55,14.412477,1.0807661
26,DBO,37,9.7540197,0.99422324
27,DPEO,43,10.75402,0.96068066
28,MNBO,44,11.647867,1.0011823
29,PPBO,45,12.237184,1.0042158
30,JACS15_L17,53,14.720346,1.0046924
31,JACS15_L18,59,17.930691,1.1945792
32,JACS15_L19,53,15.50804,1.0819141
33,JACS15_L24,81,19.481426,0.95504171
34,JACS15_L29,51,12.260458,0.98731852
35,JACS15_L30,59,13.005816,0.95240086
36,OPRDL36,32,8.1815405,0.97429061
37,OPRDL40,33,8.575387,1.0137155
38,OPRDL41,39,10.583249,1.0848556
39,OPRDL42,37,10.147867,1.0336527
40,OPRDL43,34,9.7371836,1.0576648
41,OPRDL44,38,10.737184,1.0313393
42,OPRDL45,30,9.376029,1.2263813
43,OPRDL46,30,8.1647034,1.0398679
44,OPRDL47,27,7.7540202,1.0520515
45,OPRDL49,27,7.7540202,1.1123039
